875,93,2,65,91,29465,16686,54,482.769083941701,13,15,0
875,93,3,61,95,26660,23020,59,309.897496345176,13,15,0
875,93,1,65,91,29106,19946,54,457.060566933129,13,15,0
875,93,2,62,95,25208,22511,38,533.129020021377,13,15,0
875,93,3,62,92,25538,24802,23,421.095425404548,13,15,0
875,93,3,57,93,27975,20847,12,399.545930226637,13,15,0
875,93,1,65,94,27649,20510,33,329.751577413953,13,15,0
875,93,1,55,93,27094,16648,31,476.795055817067,13,15,0
875,93,1,57,91,26677,18416,37,360.498117150783,13,15,0
875,93,2,59,91,28113,20499,35,361.303663507536,13,15,0
875,93,1,63,90,27191,22113,39,488.222829041243,13,15,0
875,93,2,57,94,28680,23234,38,642.323648678733,13,15,0
875,93,2,64,92,27590,19428,49,324.247841554274,13,15,0
875,93,1,65,90,27894,16593,46,426.920509221228,13,15,0
875,93,3,56,95,28227,18593,42,480.38266555045,13,15,0
875,93,2,61,91,29952,24187,32,431.365240415864,13,15,0
875,93,1,55,92,29100,17920,26,527.671363599347,13,15,0
875,93,2,59,91,27066,20069,59,354.54253957997,13,15,0
875,93,1,55,93,29382,24381,28,559.219363994343,13,15,0
875,93,2,65,93,29119,16224,22,454.874254039773,13,15,0
875,93,1,59,93,25272,21405,15,432.12496695694,13,15,0
875,93,3,65,91,28593,24552,60,307.289396414097,13,15,0
875,93,2,63,91,29011,18072,18,385.333355289748,13,15,0
875,93,1,64,91,28682,20936,27,452.270173368053,13,15,0
875,93,2,56,91,28546,24183,15,399.138804175106,13,15,0
875,93,3,55,90,27705,17198,23,412.622184549795,13,15,0
875,93,1,61,90,25624,20711,31,446.47368840107,13,15,0
875,93,1,56,95,29789,22754,55,423.048402259418,13,15,0
875,93,2,63,95,27016,22021,28,438.292068583795,13,15,0
875,93,3,59,91,26084,20210,60,460.124393294576,13,15,0
875,93,3,60,90,28587,17843,13,442.307923758046,13,15,0
875,93,3,65,91,29972,20417,29,428.259852233201,13,15,0
875,93,3,60,94,26278,19351,30,522.035583722008,13,15,0
875,93,3,56,94,28357,20297,49,372.032238478122,13,15,0
875,93,2,56,90,27995,19293,58,339.832100415772,13,15,0
875,93,1,60,93,28587,23542,27,375.311862505979,13,15,0
875,93,2,60,90,29687,22918,33,377.06313624029,13,15,0
875,93,2,62,93,26759,18826,25,581.016919354762,13,15,0
875,93,2,59,93,26268,21154,51,320.834408376838,13,15,0
875,93,1,62,95,27012,18484,43,440.385604081518,13,15,0
875,93,2,59,91,28733,20076,15,438.637235649928,13,15,0
875,93,2,61,94,28621,19177,41,473.311408583373,13,15,0
875,93,1,63,95,27030,21917,50,324.321954494668,13,15,0
875,93,1,56,95,29947,19333,13,590.369257088916,13,15,0
875,93,2,59,90,27252,20132,34,390.901682884859,13,15,0
875,93,3,60,92,26869,22474,50,506.13035981397,13,15,0
875,93,2,62,95,28548,19717,60,343.302604078625,13,15,0
875,93,1,57,92,25412,24158,40,709.025520139562,13,15,0
875,93,1,61,94,26992,17624,13,378.173831986735,13,15,0
875,93,2,61,93,28855,22670,33,300.276554533466,13,15,0
875,93,1,64,94,28824,19801,21,399.621181862302,13,15,0
875,93,1,58,92,26419,19838,42,364.939633344762,13,15,0
875,93,2,62,90,25947,21710,22,573.671150578943,13,15,0
875,93,1,57,90,27356,20706,19,322.386473618009,13,15,0
